task_id,benchmark,entropy,length_words,bucket,pass_fp,pass_q,model,technique,degraded,helped
Python-32,McEval,6.169959241661733,145,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-33,McEval,6.0875511650878416,159,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-34,McEval,6.114927575278051,120,High,1,1,CodeLlama-7B-Instruct,AWQ,0,0
Python-35,McEval,6.045254488359304,114,High,1,1,CodeLlama-7B-Instruct,AWQ,0,0
Python-36,McEval,5.933616513860071,122,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-37,McEval,6.156158963944677,148,High,0,1,CodeLlama-7B-Instruct,AWQ,0,1
Python-38,McEval,5.990666029766546,136,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-39,McEval,5.785598472617634,107,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-40,McEval,5.713920988003153,106,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-41,McEval,6.000371132229235,111,High,1,0,CodeLlama-7B-Instruct,AWQ,1,0
Python-42,McEval,6.1277395933819285,176,High,1,0,CodeLlama-7B-Instruct,AWQ,1,0
Python-43,McEval,5.876266282363946,127,High,1,1,CodeLlama-7B-Instruct,AWQ,0,0
Python-44,McEval,6.19233932785371,145,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-45,McEval,5.785645501278758,94,High,1,1,CodeLlama-7B-Instruct,AWQ,0,0
Python-46,McEval,5.063310944910957,65,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-47,McEval,6.13893429278745,133,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-48,McEval,5.972277134085887,118,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-49,McEval,5.948951430763676,159,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-50,McEval,5.185474480347638,74,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-7,McEval,6.047734536501066,143,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-8,McEval,6.515546702638959,168,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-9,McEval,5.598240842293285,72,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-10,McEval,5.717777969118141,104,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-11,McEval,4.53421902118034,46,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-12,McEval,5.088343091584564,56,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-13,McEval,5.96686250979328,209,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-14,McEval,5.47775192497188,117,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-15,McEval,6.211410059540001,180,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-16,McEval,5.619173550875148,108,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-17,McEval,6.002494949089661,131,High,1,1,CodeLlama-7B-Instruct,GPTQ,0,0
Python-18,McEval,6.176090756258256,154,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-19,McEval,5.845991320209795,194,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-20,McEval,6.166014759168177,190,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-21,McEval,6.28505921477374,181,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-22,McEval,5.895053312282227,115,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-24,McEval,5.489097917988789,72,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-25,McEval,5.969420322642397,123,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-26,McEval,6.43597055971993,176,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-27,McEval,4.701649204701855,55,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-28,McEval,6.340000469274778,171,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-29,McEval,5.449921476841497,84,Low,0,1,CodeLlama-7B-Instruct,GPTQ,0,1
Python-31,McEval,6.154993393414601,119,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-32,McEval,6.169959241661733,145,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-33,McEval,6.0875511650878416,159,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-34,McEval,6.114927575278051,120,High,1,1,CodeLlama-7B-Instruct,GPTQ,0,0
Python-35,McEval,6.045254488359304,114,High,1,1,CodeLlama-7B-Instruct,GPTQ,0,0
Python-36,McEval,5.933616513860071,122,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-37,McEval,6.156158963944677,148,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-38,McEval,5.990666029766546,136,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-39,McEval,5.785598472617634,107,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-40,McEval,5.713920988003153,106,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-41,McEval,6.000371132229235,111,High,1,0,CodeLlama-7B-Instruct,GPTQ,1,0
Python-42,McEval,6.1277395933819285,176,High,1,0,CodeLlama-7B-Instruct,GPTQ,1,0
Python-43,McEval,5.876266282363946,127,High,1,1,CodeLlama-7B-Instruct,GPTQ,0,0
Python-44,McEval,6.19233932785371,145,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-45,McEval,5.785645501278758,94,High,1,1,CodeLlama-7B-Instruct,GPTQ,0,0
Python-46,McEval,5.063310944910957,65,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-47,McEval,6.13893429278745,133,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-48,McEval,5.972277134085887,118,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-49,McEval,5.948951430763676,159,High,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-50,McEval,5.185474480347638,74,Low,0,0,CodeLlama-7B-Instruct,GPTQ,0,0
Python-7,McEval,6.047734536501066,143,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-8,McEval,6.515546702638959,168,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-9,McEval,5.598240842293285,72,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-10,McEval,5.717777969118141,104,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-11,McEval,4.53421902118034,46,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-12,McEval,5.088343091584564,56,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-13,McEval,5.96686250979328,209,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-14,McEval,5.47775192497188,117,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-15,McEval,6.211410059540001,180,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-16,McEval,5.619173550875148,108,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-17,McEval,6.002494949089661,131,High,1,1,CodeLlama-7B-Instruct,GGUF,0,0
Python-18,McEval,6.176090756258256,154,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-19,McEval,5.845991320209795,194,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-20,McEval,6.166014759168177,190,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-21,McEval,6.28505921477374,181,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-22,McEval,5.895053312282227,115,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-24,McEval,5.489097917988789,72,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-25,McEval,5.969420322642397,123,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-26,McEval,6.43597055971993,176,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-27,McEval,4.701649204701855,55,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-28,McEval,6.340000469274778,171,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-29,McEval,5.449921476841497,84,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-31,McEval,6.154993393414601,119,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-32,McEval,6.169959241661733,145,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-33,McEval,6.0875511650878416,159,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-34,McEval,6.114927575278051,120,High,1,1,CodeLlama-7B-Instruct,GGUF,0,0
Python-35,McEval,6.045254488359304,114,High,1,1,CodeLlama-7B-Instruct,GGUF,0,0
Python-36,McEval,5.933616513860071,122,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-37,McEval,6.156158963944677,148,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-38,McEval,5.990666029766546,136,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-39,McEval,5.785598472617634,107,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-40,McEval,5.713920988003153,106,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-41,McEval,6.000371132229235,111,High,1,0,CodeLlama-7B-Instruct,GGUF,1,0
Python-42,McEval,6.1277395933819285,176,High,1,0,CodeLlama-7B-Instruct,GGUF,1,0
Python-43,McEval,5.876266282363946,127,High,1,0,CodeLlama-7B-Instruct,GGUF,1,0
Python-44,McEval,6.19233932785371,145,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-45,McEval,5.785645501278758,94,High,1,1,CodeLlama-7B-Instruct,GGUF,0,0
Python-46,McEval,5.063310944910957,65,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-47,McEval,6.13893429278745,133,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-48,McEval,5.972277134085887,118,High,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-49,McEval,5.948951430763676,159,High,0,1,CodeLlama-7B-Instruct,GGUF,0,1
Python-50,McEval,5.185474480347638,74,Low,0,0,CodeLlama-7B-Instruct,GGUF,0,0
Python-7,McEval,6.047734536501066,143,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-8,McEval,6.515546702638959,168,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-9,McEval,5.598240842293285,72,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-10,McEval,5.717777969118141,104,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-11,McEval,4.53421902118034,46,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-12,McEval,5.088343091584564,56,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-13,McEval,5.96686250979328,209,High,0,1,CodeLlama-7B-Instruct,BnB,0,1
Python-14,McEval,5.47775192497188,117,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-15,McEval,6.211410059540001,180,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-16,McEval,5.619173550875148,108,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-17,McEval,6.002494949089661,131,High,1,1,CodeLlama-7B-Instruct,BnB,0,0
Python-18,McEval,6.176090756258256,154,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-19,McEval,5.845991320209795,194,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-20,McEval,6.166014759168177,190,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-21,McEval,6.28505921477374,181,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-22,McEval,5.895053312282227,115,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-24,McEval,5.489097917988789,72,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-25,McEval,5.969420322642397,123,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-26,McEval,6.43597055971993,176,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-27,McEval,4.701649204701855,55,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-28,McEval,6.340000469274778,171,High,0,1,CodeLlama-7B-Instruct,BnB,0,1
Python-29,McEval,5.449921476841497,84,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-31,McEval,6.154993393414601,119,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-32,McEval,6.169959241661733,145,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-33,McEval,6.0875511650878416,159,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-34,McEval,6.114927575278051,120,High,1,1,CodeLlama-7B-Instruct,BnB,0,0
Python-35,McEval,6.045254488359304,114,High,1,1,CodeLlama-7B-Instruct,BnB,0,0
Python-36,McEval,5.933616513860071,122,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-37,McEval,6.156158963944677,148,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-38,McEval,5.990666029766546,136,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-39,McEval,5.785598472617634,107,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-40,McEval,5.713920988003153,106,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-41,McEval,6.000371132229235,111,High,1,0,CodeLlama-7B-Instruct,BnB,1,0
Python-42,McEval,6.1277395933819285,176,High,1,1,CodeLlama-7B-Instruct,BnB,0,0
Python-43,McEval,5.876266282363946,127,High,1,1,CodeLlama-7B-Instruct,BnB,0,0
Python-44,McEval,6.19233932785371,145,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-45,McEval,5.785645501278758,94,High,1,1,CodeLlama-7B-Instruct,BnB,0,0
Python-46,McEval,5.063310944910957,65,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-47,McEval,6.13893429278745,133,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-48,McEval,5.972277134085887,118,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-49,McEval,5.948951430763676,159,High,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-50,McEval,5.185474480347638,74,Low,0,0,CodeLlama-7B-Instruct,BnB,0,0
Python-7,McEval,6.047734536501066,143,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-8,McEval,6.515546702638959,168,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-9,McEval,5.598240842293285,72,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-10,McEval,5.717777969118141,104,Low,0,1,CodeLlama-7B-Instruct,AQLM,0,1
Python-11,McEval,4.53421902118034,46,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-12,McEval,5.088343091584564,56,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-13,McEval,5.96686250979328,209,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-14,McEval,5.47775192497188,117,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-15,McEval,6.211410059540001,180,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-16,McEval,5.619173550875148,108,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-17,McEval,6.002494949089661,131,High,1,0,CodeLlama-7B-Instruct,AQLM,1,0
Python-18,McEval,6.176090756258256,154,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-19,McEval,5.845991320209795,194,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-20,McEval,6.166014759168177,190,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-21,McEval,6.28505921477374,181,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-22,McEval,5.895053312282227,115,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-24,McEval,5.489097917988789,72,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-25,McEval,5.969420322642397,123,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-26,McEval,6.43597055971993,176,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-27,McEval,4.701649204701855,55,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-28,McEval,6.340000469274778,171,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-29,McEval,5.449921476841497,84,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-31,McEval,6.154993393414601,119,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-32,McEval,6.169959241661733,145,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-33,McEval,6.0875511650878416,159,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-34,McEval,6.114927575278051,120,High,1,0,CodeLlama-7B-Instruct,AQLM,1,0
Python-35,McEval,6.045254488359304,114,High,1,1,CodeLlama-7B-Instruct,AQLM,0,0
Python-36,McEval,5.933616513860071,122,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-37,McEval,6.156158963944677,148,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-38,McEval,5.990666029766546,136,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-39,McEval,5.785598472617634,107,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-40,McEval,5.713920988003153,106,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-41,McEval,6.000371132229235,111,High,1,0,CodeLlama-7B-Instruct,AQLM,1,0
Python-42,McEval,6.1277395933819285,176,High,1,0,CodeLlama-7B-Instruct,AQLM,1,0
Python-43,McEval,5.876266282363946,127,High,1,1,CodeLlama-7B-Instruct,AQLM,0,0
Python-44,McEval,6.19233932785371,145,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-45,McEval,5.785645501278758,94,High,1,0,CodeLlama-7B-Instruct,AQLM,1,0
Python-46,McEval,5.063310944910957,65,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-47,McEval,6.13893429278745,133,High,0,1,CodeLlama-7B-Instruct,AQLM,0,1
Python-48,McEval,5.972277134085887,118,High,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-49,McEval,5.948951430763676,159,High,0,1,CodeLlama-7B-Instruct,AQLM,0,1
Python-50,McEval,5.185474480347638,74,Low,0,0,CodeLlama-7B-Instruct,AQLM,0,0
Python-7,McEval,6.047734536501066,143,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-8,McEval,6.515546702638959,168,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-9,McEval,5.598240842293285,72,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-10,McEval,5.717777969118141,104,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-11,McEval,4.53421902118034,46,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-12,McEval,5.088343091584564,56,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-13,McEval,5.96686250979328,209,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-14,McEval,5.47775192497188,117,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-15,McEval,6.211410059540001,180,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-16,McEval,5.619173550875148,108,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-17,McEval,6.002494949089661,131,High,1,1,CodeLlama-7B-Instruct,QuIP#,0,0
Python-18,McEval,6.176090756258256,154,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-19,McEval,5.845991320209795,194,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-20,McEval,6.166014759168177,190,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-21,McEval,6.28505921477374,181,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-22,McEval,5.895053312282227,115,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-24,McEval,5.489097917988789,72,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-25,McEval,5.969420322642397,123,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-26,McEval,6.43597055971993,176,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-27,McEval,4.701649204701855,55,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-28,McEval,6.340000469274778,171,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-29,McEval,5.449921476841497,84,Low,0,1,CodeLlama-7B-Instruct,QuIP#,0,1
Python-31,McEval,6.154993393414601,119,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-32,McEval,6.169959241661733,145,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-33,McEval,6.0875511650878416,159,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-34,McEval,6.114927575278051,120,High,1,0,CodeLlama-7B-Instruct,QuIP#,1,0
Python-35,McEval,6.045254488359304,114,High,1,1,CodeLlama-7B-Instruct,QuIP#,0,0
Python-36,McEval,5.933616513860071,122,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-37,McEval,6.156158963944677,148,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-38,McEval,5.990666029766546,136,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-39,McEval,5.785598472617634,107,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-40,McEval,5.713920988003153,106,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-41,McEval,6.000371132229235,111,High,1,0,CodeLlama-7B-Instruct,QuIP#,1,0
Python-42,McEval,6.1277395933819285,176,High,1,0,CodeLlama-7B-Instruct,QuIP#,1,0
Python-43,McEval,5.876266282363946,127,High,1,0,CodeLlama-7B-Instruct,QuIP#,1,0
Python-44,McEval,6.19233932785371,145,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-45,McEval,5.785645501278758,94,High,1,1,CodeLlama-7B-Instruct,QuIP#,0,0
Python-46,McEval,5.063310944910957,65,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-47,McEval,6.13893429278745,133,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-48,McEval,5.972277134085887,118,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-49,McEval,5.948951430763676,159,High,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
Python-50,McEval,5.185474480347638,74,Low,0,0,CodeLlama-7B-Instruct,QuIP#,0,0
62e60f43d76274f8a4026e28,CoderEval,3.0,8,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e60f3bd76274f8a4026e10,CoderEval,3.121928094887362,10,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e60f37d76274f8a4026dfd,CoderEval,3.277613436819116,11,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e60f33d76274f8a4026de9,CoderEval,3.321928094887362,10,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e60ed4d76274f8a4026da0,CoderEval,3.121928094887362,10,Low,1,1,CodeLlama-7B-Instruct,AWQ,0,0
62e60e49d76274f8a4026d25,CoderEval,3.0,8,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e60e05d76274f8a4026cfd,CoderEval,2.75,8,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e60da4d76274f8a4026cf1,CoderEval,3.418295834054489,12,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e60b10d76274f8a4026ccd,CoderEval,3.188721875540867,12,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e6087bd76274f8a4026bfa,CoderEval,3.169925001442312,9,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e6087ad76274f8a4026bf2,CoderEval,5.639918868179257,97,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e60879d76274f8a4026bec,CoderEval,6.038428083135094,141,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e60723d76274f8a4026b75,CoderEval,2.0,4,Low,1,1,CodeLlama-7B-Instruct,AWQ,0,0
62e60707d76274f8a4026b69,CoderEval,2.0,4,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e5dc9ed76274f8a4026b5b,CoderEval,3.169925001442312,9,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e4fbda85ea986430890405,CoderEval,2.584962500721156,6,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e4fbda85ea986430890403,CoderEval,2.75,8,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62e4fb6585ea98643089032b,CoderEval,3.418295834054489,12,Low,1,1,CodeLlama-7B-Instruct,AWQ,0,0
62e4fb4d85ea9864308902e7,CoderEval,3.7004397181410926,13,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62b8d27a48ba5a41d1c3f4c6,CoderEval,3.277613436819116,11,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62b8d24048ba5a41d1c3f49f,CoderEval,4.444187891679296,29,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
62b8d23b48ba5a41d1c3f49a,CoderEval,4.229871195093384,23,Low,1,0,CodeLlama-7B-Instruct,AWQ,1,0
